Predictions,Year,Month
7405,2023,3
7478,2023,4
7607,2023,5
7711,2023,6
7820,2023,7
8025,2023,8
8489,2023,9
8658,2023,10
8741,2023,11
8838,2023,12
8882,2024,1
8980,2024,2
9063,2024,3
9136,2024,4
9265,2024,5
9369,2024,6
9478,2024,7
9683,2024,8
10147,2024,9
10316,2024,10
10399,2024,11
10496,2024,12
10540,2025,1
10638,2025,2
10720,2025,3
10794,2025,4
10923,2025,5
11027,2025,6
11136,2025,7
11341,2025,8
11805,2025,9
11974,2025,10
12057,2025,11
12154,2025,12
12198,2026,1
12296,2026,2
12378,2026,3
12451,2026,4
12580,2026,5
12684,2026,6
12793,2026,7
12998,2026,8
13462,2026,9
13631,2026,10
13714,2026,11
13811,2026,12
13855,2027,1
13953,2027,2
14036,2027,3
14109,2027,4
14238,2027,5
14342,2027,6
14451,2027,7
14656,2027,8
15120,2027,9
15289,2027,10
15372,2027,11
15469,2027,12
15513,2028,1
15611,2028,2
15693,2028,3
15767,2028,4
15896,2028,5
16000,2028,6
16109,2028,7
16314,2028,8
