Station Name,Street Address,City,ZIP,Station Phone,Groups With Access Code,Access Days Time,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,Geocode Status,Latitude,Longitude,Open Date,EV Connector Types,Facility Type,EV Pricing
Los Angeles Convention Center,1201 S Figueroa St,Los Angeles,90015,213-741-1151,Public,5:30am-9pm; pay lot,,7,,,Non-Networked,GPS,34.040539,-118.271387,1995-08-30,J1772,PARKING_GARAGE,Free; parking fee
California Air Resources Board,9530 Telstar Ave,El Monte,91731,626-575-6800,Public,24 hours daily,,3,,,Non-Networked,GPS,34.06872,-118.064,1996-10-15,J1772,STATE_GOV,Free
Scripps Green Hospital,10666 N Torrey Pines Rd,La Jolla,92037,,Public,24 hours daily,,1,,,Non-Networked,GPS,32.89947,-117.243,1997-07-30,J1772,HOSPITAL,Free; parking fee
Galpin Motors,15421 Roscoe Blvd,Sepulveda,91343,800-256-6219,Public - Call ahead,Dealership business hours,,2,,,Non-Networked,200-9,34.221665,-118.468371,2012-12-11,J1772,CAR_DEALER,Free
Galleria at Tyler,1299 Galleria at Tyler,Riverside,92503,951-351-3110,Public,6am-12am daily,,4,,,Non-Networked,GPS,33.909914,-117.459053,1997-08-30,J1772,SHOPPING_MALL,Free
City of Pasadena - Holly Street Garage,150 E Holly St,Pasadena,91103,626-744-7665,Public,24 hours daily; pay lot,,16,,,Non-Networked,200-8,34.14762,-118.147111,1997-08-30,J1772,PARKING_GARAGE,Free
City of Pasadena - De Lacey Garage,45 De Lacey Ave,Pasadena,91105,626-744-7665,Public,24 hours daily; pay lot,,2,,,Non-Networked,GPS,34.145138,-118.152655,1997-08-30,J1772,PARKING_GARAGE,Free; parking fee
City of Pasadena - Schoolhouse Garage,33 E Green St,Pasadena,91105,626-744-7665,Public,24 hours daily; pay lot,,3,,,Non-Networked,GPS,34.145119,-118.150133,1997-08-30,J1772,PARKING_GARAGE,"$1 for the first two hours, $2 each additional hour; parking fee"
Bristol Farms,606 Fair Oaks Ave,South Pasadena,91030,626-441-5450,Public,24 hours daily,,,,1 LP Inductive,Non-Networked,200-9,34.118433,-118.149597,1997-08-31,,GROCERY,
Hyatt Regency Long Beach,200 S Pine Ave,Long Beach,90802,562-491-1234,Public,24 hours daily; pay lot; see valet for access,,1,,,Non-Networked,GPS,33.7637,-118.192,2012-05-04,J1772,HOTEL,Free
Los Angeles International Airport (LAX) - Lot 6,1 World Way,Los Angeles,90045,310-646-2911,Public,24 hours daily; pay lot,,20,,,Non-Networked,GPS,33.94325,-118.403342,1998-06-30,J1772,AIRPORT,$2 service fee + $0.45 per kWh
Northridge Fashion Center East Garage Lower Level,9301 Tampa Ave,Northridge,91324,888-264-2208,Public,Mon 6:00am - 11:59pm; Tue 6:00am - 11:59pm; Wed 6:00am - 11:59pm; Thu 6:00am - 11:59pm; Fri 6:00am - 11:59pm; Sat 6:00am - 11:59pm; Sun 6:00am - 11:59pm,,5,,,Volta,GPS,34.2387162,-118.554686,1998-05-30,J1772,,
Ontario Airport Hotel and Conference Center,700 N Haven Ave,Ontario,91764,909-980-0400,Public,24 hours daily; guest use only,,1,,,Non-Networked,GPS,34.07122,-117.575,1998-06-15,J1772,HOTEL,Free
Courtyard Marriott - Oxnard Ventura,600 E Esplanade Dr,Oxnard,93030,805-988-3600,Public,24 hours daily; guest use only,,1,,,Non-Networked,GPS,34.228315,-119.170865,1998-05-30,J1772,HOTEL,Free
Hilton - Palm Springs,400 E Tahquitz Canyon Way,Palm Springs,92262,760-320-6868,Public,24 hours daily; pay lot; priority given to registered guests,,2,,,Non-Networked,GPS,33.824004,-116.543589,2011-12-12,J1772,HOTEL,Free
East Bay Mini,4340 Rosewood Dr,Pleasanton,94588,925-251-7070,Public,Dealership business hours,,2,,,Non-Networked,200-8,37.700187,-121.876172,2012-12-14,J1772,CAR_DEALER,Free
Inland Empire Foods,5425 Wilson St,Riverside,92509,951-682-8222,Public,8am-4:30pm M-F,,3,,,Non-Networked,GPS,34.0189,-117.38,1998-05-30,J1772,OFFICE_BLDG,Free
Sacramento International Airport - Daily A Lot,Lindbergh Dr,Sacramento,95837,916-874-0670,Public,24 hours daily; pay lot,,4,,1 SP Inductive,Non-Networked,GPS,38.69005,-121.58889,1998-06-30,J1772,AIRPORT,$12 parking fee
City of Santa Monica - Airport,3223 Donald Douglas Loop,Santa Monica,90405,310-458-8516,Public,24 hours daily,,2,,,Non-Networked,GPS,34.017081,-118.44704,1998-06-30,J1772,AIRPORT,Free
City of Santa Monica - Pier,200 Santa Monica Pier,Santa Monica,90405,310-458-8516,Public,24 hours daily; pay lot,,3,,,Non-Networked,200-9,34.010021,-118.49583,2019-04-08,J1772,MUNI_GOV,Free
Westfield Parking Garage 1st Floor,14006 Riverside Dr,Sherman Oaks,91423,888-264-2208,Public,Mon 6:00am - 11:59pm; Tue 6:00am - 11:59pm; Wed 6:00am - 11:59pm; Thu 6:00am - 11:59pm; Fri 6:00am - 11:59pm; Sat 6:00am - 11:59pm; Sun 6:00am - 11:59pm,,2,,,Volta,GPS,34.1564065,-118.4389655,1998-05-30,J1772,,
Universal City Hilton,333 Universal Terrace Pkwy,Universal City,91608,818-506-2500,Public - Call ahead,24 hours daily; pay lot; see valet for access; Drivers must bring their own J1772 cordset for Level 1 charging,1,,,,Non-Networked,200-8,34.138717,-118.35904,1998-05-30,NEMA520,HOTEL,Free
Office Max - Home Depot,7075 Firestone Blvd,Downey,90241,562-806-6600,Public,24 hours daily,,4,,,Non-Networked,200-8,33.94756,-118.153806,1998-06-15,J1772,SHOPPING_CENTER,Free
Hyatt at Fisherman's Wharf,555 N Point St,San Francisco,94133,415-563-1234,Public,24 hours daily; pay lot; see valet for access,,1,,,Non-Networked,GPS,37.80619,-122.4152,1998-07-01,J1772,HOTEL,Free
Arden Fair Mall,1689 Arden Way,Sacramento,95815,916-920-1167,Public,24 hours daily,,4,,,Non-Networked,200-8,38.599693,-121.427045,2019-11-01,J1772,SHOPPING_MALL,Free
Japan Center Garage,1610 Geary Blvd,San Francisco,94115,415-567-4573,Public - Credit card at all times,24 hours daily; pay lot,,,,1 SP Inductive,Non-Networked,GPS,37.784912,-122.430237,2002-01-31,,PARKING_GARAGE,
Palace Hotel,2 New Montgomery St,San Francisco,94105,415-512-1111,Public,24 hours daily,,1,,,Non-Networked,GPS,37.78881,-122.401,2002-01-31,J1772,HOTEL,$7 per session
Mark Hopkins InterContinental Hotel,999 California St,San Francisco,94108,415-392-3434,Public,24 hours daily; for guest use only; see valet for access,,1,,,Non-Networked,200-8,37.791791,-122.411265,2002-01-31,J1772,HOTEL,
Hotel Sofitel,8555 Beverly Blvd,Los Angeles,90048,310-278-5444,Public,24 hours daily; for guest use only; see valet for access,,2,,,Non-Networked,GPS,34.076264,-118.377527,2002-01-31,J1772,HOTEL,Free
Music Center Parking - Level 2,135 N Grand Ave,Los Angeles,90012,213-972-7211  323-267-2023,Public,"Garage business hours; pay lot; keypad activated, instructions on EVSE",,3,,,Non-Networked,GPS,34.057657,-118.24789,2002-01-31,J1772,PAY_GARAGE,Free
